Line,No,East,North,Elevation,Progress,Crew,Remark,Date,Type
R31,5068,303028.9,9582313,0,Topo,Topo2,,11/20/2024,RL
R31,5069,303028.9,9582323,0,Topo,Topo2,,11/20/2024,RL
R31,5070,303028.9,9582333,0,Topo,Topo2,,11/20/2024,RL
R31,5071,303028.9,9582343,0,Topo,Topo2,,11/20/2024,RL
R31,5072,303028.9,9582353,0,Topo,Topo2,,11/20/2024,RL
R31,5073,303028.9,9582363,0,Topo,Topo2,,11/20/2024,RL
R31,5074,303028.9,9582373,0,Topo,Topo2,,11/20/2024,RL
R31,5075,303028.9,9582383,0,Topo,Topo2,,11/20/2024,RL
R31,5076,303028.9,9582393,0,Topo,Topo2,,11/20/2024,RL
R31,5077,303028.9,9582403,0,Topo,Topo2,,11/20/2024,RL
R31,5078,303028.9,9582413,0,Topo,Topo2,,11/20/2024,RL
R31,5079,303028.9,9582423,0,Topo,Topo2,,11/20/2024,RL
R31,5080,303028.9,9582433,0,Topo,Topo2,,11/20/2024,RL
R31,5081,303028.9,9582443,0,Topo,Topo2,,11/20/2024,RL
R31,5082,303028.9,9582453,0,Topo,Topo2,,11/20/2024,RL
R31,5083,303028.9,9582463,0,Topo,Topo2,,11/20/2024,RL
R31,5084,303028.9,9582473,0,Topo,Topo2,,11/20/2024,RL
R31,5085,303028.9,9582483,0,Topo,Topo2,,11/20/2024,RL
R31,5086,303028.9,9582493,0,Topo,Topo2,,11/20/2024,RL
R31,5087,303028.9,9582503,0,Topo,Topo2,,11/20/2024,RL
R31,5088,303028.9,9582513,0,Topo,Topo2,,11/20/2024,RL
R31,5089,303028.9,9582523,0,Topo,Topo2,,11/20/2024,RL
R31,5090,303028.9,9582533,0,Topo,Topo2,,11/20/2024,RL
R31,5091,303028.9,9582543,0,Topo,Topo2,,11/20/2024,RL
R31,5092,303028.9,9582553,0,Topo,Topo2,,11/20/2024,RL
R31,5093,303028.9,9582563,0,Topo,Topo2,,11/20/2024,RL
R31,5094,303028.9,9582573,0,Topo,Topo2,,11/20/2024,RL
R31,5095,303028.9,9582583,0,Topo,Topo2,,11/20/2024,RL
R31,5096,303028.9,9582593,0,Topo,Topo2,,11/20/2024,RL
R31,5097,303028.9,9582603,0,Topo,Topo2,,11/20/2024,RL
R31,5098,303028.9,9582613,0,Topo,Topo2,,11/20/2024,RL
R31,5099,303028.9,9582623,0,Topo,Topo2,,11/20/2024,RL
R31,5100,303028.9,9582633,0,Topo,Topo2,,11/20/2024,RL
R31,5101,303028.9,9582643,0,Topo,Topo2,,11/20/2024,RL
R31,5102,303028.9,9582653,0,Topo,Topo2,,11/20/2024,RL
R31,5103,303028.9,9582663,0,Topo,Topo2,,11/20/2024,RL
R31,5104,303028.9,9582673,0,Topo,Topo2,,11/20/2024,RL
R31,5105,303028.9,9582683,0,Topo,Topo2,,11/20/2024,RL
R31,5106,303028.9,9582693,0,Topo,Topo2,,11/20/2024,RL
