Line,No,East,North,Elevation,Progress,Crew,Remark,Date,Type
S6,1151,303038.9,9582707.9,0,Shoot,Fleet1,Oge,2025-12-30,
S6,1152,303058.9,9582708.1,0,Shoot,Fleet1,Oge,2025-12-30,
S6,1153,303078.8,9582707.9,0,Shoot,Fleet1,Oge,2025-12-30,
S6,1154,303098.8,9582708,0,Shoot,Fleet1,Oge,2025-12-30,
S6,1155,303119,9582708,0,Shoot,Fleet1,Oge,2025-12-30,
S6,1156,303138.9,9582708.1,0,Shoot,Fleet1,Oge,2025-12-30,
S6,1157,303158.8,9582708,0,Shoot,Fleet1,Oge,2025-12-30,
S6,1158,303178.9,9582708,0,Shoot,Fleet1,Oge,2025-12-30,
S6,1159,303198.9,9582708,0,Shoot,Fleet1,Oge,2025-12-30,
S6,1160,303218.9,9582708,0,Shoot,Fleet1,Oge,2025-12-30,
S6,1161,303238.9,9582708.1,0,,,,,
S6,1162,303259,9582708.1,0,,,,,
S6,1163,303278.8,9582708.1,0,,,,,
S6,1164,303298.9,9582708,0,,,,,
S6,1165,303318.9,9582708,0,,,,,
S6,1166,303338.9,9582708,0,,,,,
S6,1167,303358.9,9582708,0,,,,,
S6,1168,303378.9,9582708,0,,,,,
S6,1169,303398.9,9582708,0,,,,,
S6,1170,303418.9,9582708,0,,,,,
S6,1171,303438.9,9582703,0,,,,,
S6,1172,303458.9,9582703,0,,,,,
S6,1173,303478.9,9582703,0,,,,,
S6,1174,303498.9,9582703,0,,,,,
S6,1175,303518.9,9582703,0,,,,,
S6,1176,303539,9582703,0,,,,,
S6,1177,303558.9,9582698,0,,,,,
S6,1178,303578.9,9582698,0,,,,,
S6,1179,303598.9,9582698,0,,,,,
S6,1180,303618.9,9582698,0,,,,,
S6,1181,303638.9,9582698,0,,,,,
S6,1182,303658.9,9582698.1,0,,,,,
S6,1183,303679,9582698,0,,,,,
S6,1184,303698.9,9582698,0,,,,,
S6,1185,303718.8,9582698,0,,,,,
S6,1186,303738.9,9582698,0,,,,,
S6,1187,303758.9,9582698,0,,,,,
S6,1188,303778.9,9582698,0,,,,,
S6,1189,303798.9,9582698,0,,,,,
S6,1190,303818.9,9582698,0,,,,,
S6,1191,303838.9,9582698,0,,,,,
S6,1192,303858.9,9582698,0,,,,,
S6,1193,303878.9,9582698,0,,,,,
S6,1194,303898.9,9582698,0,,,,,
S6,1195,303918.9,9582698,0,,,,,
S6,1196,303938.9,9582698,0,,,,,
S6,1197,303958.8,9582698,0,,,,,
S6,1198,303978.9,9582698,0,,,,,
S6,1199,303998.9,9582697.6,0,,,,,
S6,1200,304018.9,9582697.9,0,,,,,
S6,1201,304038.9,9582698,0,,,,,
S6,1202,304058.9,9582698,0,,,,,
S6,1203,304078.9,9582698,0,,,,,
S6,1204,304098.9,9582697.2,0,,,,,
S6,1205,304118.9,9582696.6,0,,,,,
S6,1206,304138.9,9582696.5,0,,,,,
S6,1207,304158.9,9582696.7,0,,,,,
S6,1208,304179,9582696.6,0,,,,,
S6,1209,304198.9,9582696.4,0,,,,,
S6,1210,304219,9582694.1,0,,,,,
S6,1211,304238.7,9582692,0,,,,,
S6,1212,304258.9,9582689.9,0,,,,,
S6,1213,304278.8,9582688,0,,,,,
S6,1214,304299.3,9582689.7,0,,,,,
S6,1215,304319.1,9582690.8,0,,,,,
S6,1216,304338.8,9582691.5,0,,,,,
S6,1217,304358.9,9582692.8,0,,,,,
S6,1218,304378.9,9582691.9,0,,,,,
S6,1219,304398.9,9582690.8,0,,,,,
S6,1220,304418.8,9582689.7,0,,,,,
S6,1221,304438.9,9582688.6,0,,,,,
S6,1222,304458.9,9582687.7,0,,,,,
S6,1223,304478.9,9582686.8,0,,,,,
S6,1224,304498.7,9582686,0,,,,,
S6,1225,304518.9,9582685.1,0,,,,,
S6,1226,304538.9,9582684.2,0,,,,,
S6,1227,304558.9,9582683,0,,,,,
S6,1228,304578.9,9582682.4,0,,,,,
S6,1229,304598.9,9582681.7,0,,,,,
S6,1230,304618.9,9582681.2,0,,,,,
S6,1231,304638.8,9582682,0,,,,,
S6,1232,304658.9,9582683,0,,,,,
S6,1233,304678.9,9582683,0,,,,,
S6,1234,304698.9,9582683,0,,,,,
S6,1235,304718.8,9582683,0,,,,,
S6,1236,304738.9,9582682.8,0,,,,,
S6,1237,304758.9,9582679.8,0,,,,,
S6,1238,304778.9,9582676.8,0,,,,,
S6,1239,304798.9,9582678,0,,,,,
S6,1240,304818.9,9582693,0,,,,,
S6,1241,304838.9,9582713,0,,,,,
S6,1242,304858.9,9582728,0,,,,,
S6,1243,304878.9,9582733,0,,,,,
S6,1244,304898.9,9582738.7,0,,,,,
S6,1245,304918.9,9582748,0,,,,,
S6,1246,304938.9,9582758,0,,,,,
S6,1247,304959,9582768.1,0,,,,,
S6,1248,304979.3,9582778.2,0,,,,,
S6,1249,304998.9,9582787.7,0,,,,,
S6,1250,305018.9,9582783,0,,,,,
S7,1151,303038.9,9582838,0,Shoot,Fleet1,Oge,2025-12-30,
S7,1152,303058.9,9582838,0,Shoot,Fleet1,Oge,2025-12-30,
S7,1153,303078.9,9582838,0,Shoot,Fleet1,Oge,2025-12-30,
S7,1154,303098.9,9582838,0,Shoot,Fleet1,Oge,2025-12-30,
S7,1155,303118.9,9582838,0,Shoot,Fleet1,Oge,2025-12-30,
S7,1156,303138.9,9582838,0,Shoot,Fleet1,Oge,2025-12-30,
S7,1157,303158.9,9582838,0,Shoot,Fleet1,Oge,2025-12-30,
S7,1158,303178.9,9582838,0,Shoot,Fleet1,Oge,2025-12-30,
S7,1159,303198.9,9582838,0,Shoot,Fleet1,Oge,2025-12-30,
S7,1160,303218.9,9582838,0,Shoot,Fleet1,Oge,2025-12-30,
S7,1161,303238.9,9582838,0,,,,,
S7,1162,303258.9,9582838,0,,,,,
S7,1163,303278.9,9582838,0,,,,,
S7,1164,303298.9,9582838,0,,,,,
S7,1165,303318.9,9582838,0,,,,,
S7,1166,303338.9,9582838,0,,,,,
S7,1167,303358.9,9582838,0,,,,,
S7,1168,303378.9,9582838,0,,,,,
S7,1169,303398.9,9582838,0,,,,,
S7,1170,303418.9,9582838,0,,,,,
S7,1171,303438.9,9582838,0,,,,,
S7,1172,303458.9,9582838,0,,,,,
S7,1173,303478.9,9582838,0,,,,,
S7,1174,303498.9,9582838,0,,,,,
S7,1175,303518.9,9582838,0,,,,,
S7,1176,303538.9,9582838,0,,,,,
S7,1177,303558.9,9582838,0,,,,,
S7,1178,303578.9,9582838,0,,,,,
S7,1179,303598.9,9582838,0,,,,,
S7,1180,303618.9,9582838,0,,,,,
S7,1181,303638.9,9582838,0,,,,,
S7,1182,303658.9,9582838,0,,,,,
S7,1183,303678.9,9582838,0,,,,,
S7,1184,303698.9,9582838,0,,,,,
S7,1185,303718.9,9582838,0,,,,,
S7,1186,303738.9,9582838,0,,,,,
S7,1187,303758.9,9582838,0,,,,,
S7,1188,303778.9,9582838,0,,,,,
S7,1189,303798.9,9582838,0,,,,,
S7,1190,303818.9,9582838,0,,,,,
S7,1191,303838.9,9582838,0,,,,,
S7,1192,303858.9,9582838,0,,,,,
S7,1193,303878.9,9582838,0,,,,,
S7,1194,303898.9,9582838,0,,,,,
S7,1195,303918.9,9582838,0,,,,,
S7,1196,303938.9,9582838,0,,,,,
S7,1197,303958.9,9582838,0,,,,,
S7,1198,303978.9,9582838,0,,,,,
S7,1199,303998.9,9582838,0,,,,,
S7,1200,304018.9,9582838,0,,,,,
S7,1201,304038.9,9582838,0,,,,,
S7,1202,304058.9,9582838,0,,,,,
S7,1203,304078.9,9582838,0,,,,,
S7,1204,304098.9,9582838,0,,,,,
S7,1205,304118.9,9582838,0,,,,,
S7,1206,304138.9,9582838,0,,,,,
S7,1207,304158.9,9582838,0,,,,,
S7,1208,304178.9,9582838,0,,,,,
S7,1209,304198.9,9582838,0,,,,,
S7,1210,304218.9,9582838,0,,,,,
S7,1211,304238.9,9582838,0,,,,,
S7,1212,304258.9,9582838,0,,,,,
S7,1213,304278.9,9582838,0,,,,,
S7,1214,304298.9,9582838,0,,,,,
S7,1215,304318.9,9582838,0,,,,,
S7,1216,304338.9,9582838,0,,,,,
S7,1217,304358.9,9582838,0,,,,,
S7,1218,304378.9,9582838,0,,,,,
S7,1219,304398.9,9582838,0,,,,,
S7,1220,304418.9,9582838,0,,,,,
S7,1221,304438.9,9582838,0,,,,,
S7,1222,304458.9,9582838,0,,,,,
S7,1223,304478.9,9582838,0,,,,,
S7,1224,304498.9,9582838,0,,,,,
S7,1225,304518.9,9582838,0,,,,,
S7,1226,304538.9,9582838,0,,,,,
S7,1227,304558.9,9582838,0,,,,,
S7,1228,304578.9,9582838,0,,,,,
S7,1229,304598.9,9582838,0,,,,,
S7,1230,304618.9,9582838,0,,,,,
S7,1231,304638.9,9582838,0,,,,,
S7,1232,304658.9,9582838,0,,,,,
S7,1233,304678.9,9582838,0,,,,,
S7,1234,304698.9,9582838,0,,,,,
S7,1235,304718.9,9582838,0,,,,,
S7,1236,304738.9,9582838,0,,,,,
S7,1237,304758.9,9582838,0,,,,,
S7,1238,304778.9,9582838,0,,,,,
S7,1239,304798.9,9582838,0,,,,,
S7,1240,304818.9,9582838,0,,,,,
S7,1241,304838.9,9582838,0,,,,,
S7,1242,304858.9,9582838,0,,,,,
S7,1243,304878.9,9582838,0,,,,,
S7,1244,304898.9,9582838,0,,,,,
S7,1245,304918.9,9582838,0,,,,,
S7,1246,304938.9,9582838,0,,,,,
S7,1247,304958.9,9582838,0,,,,,
S7,1248,304978.9,9582838,0,,,,,
S7,1249,304998.9,9582838,0,,,,,
S7,1250,305018.9,9582838,0,,,,,
S8,1151,303038.9,9582988,0,Shoot,Fleet1,Oge,2025-12-30,
S8,1152,303058.9,9582988,0,Shoot,Fleet1,Oge,2025-12-30,
S8,1153,303078.9,9582988,0,Shoot,Fleet1,Oge,2025-12-30,
S8,1154,303098.9,9582988,0,Shoot,Fleet1,Oge,2025-12-30,
S8,1155,303118.9,9582988,0,Shoot,Fleet1,Oge,2025-12-30,
S8,1156,303138.9,9582988,0,Shoot,Fleet1,Oge,2025-12-30,
S8,1157,303158.9,9582988,0,Shoot,Fleet1,Oge,2025-12-30,
S8,1158,303178.9,9582988,0,Shoot,Fleet1,Oge,2025-12-30,
S8,1159,303198.9,9582988,0,Shoot,Fleet1,Oge,2025-12-30,
S8,1160,303218.9,9582988,0,Shoot,Fleet1,Oge,2025-12-30,
S8,1161,303238.9,9582988,0,,,,,
S8,1162,303258.9,9582988,0,,,,,
S8,1163,303278.9,9582988,0,,,,,
S8,1164,303298.9,9582988,0,,,,,
S8,1165,303318.9,9582988,0,,,,,
S8,1166,303338.9,9582988,0,,,,,
S8,1167,303358.9,9582988,0,,,,,
S8,1168,303378.9,9582988,0,,,,,
S8,1169,303398.9,9582988,0,,,,,
S8,1170,303418.9,9582988,0,,,,,
S8,1171,303438.9,9582988,0,,,,,
S8,1172,303458.9,9582988,0,,,,,
S8,1173,303478.9,9582988,0,,,,,
S8,1174,303498.9,9582988,0,,,,,
S8,1175,303518.9,9582988,0,,,,,
S8,1176,303538.9,9582988,0,,,,,
S8,1177,303558.9,9582988,0,,,,,
S8,1178,303578.9,9582988,0,,,,,
S8,1179,303598.9,9582988,0,,,,,
S8,1180,303618.9,9582988,0,,,,,
S8,1181,303638.9,9582988,0,,,,,
S8,1182,303658.9,9582988,0,,,,,
S8,1183,303678.9,9582988,0,,,,,
S8,1184,303698.9,9582988,0,,,,,
S8,1185,303718.9,9582988,0,,,,,
S8,1186,303738.9,9582988,0,,,,,
S8,1187,303758.9,9582988,0,,,,,
S8,1188,303778.9,9582988,0,,,,,
S8,1189,303798.9,9582988,0,,,,,
S8,1190,303818.9,9582988,0,,,,,
S8,1191,303838.9,9582988,0,,,,,
S8,1192,303858.9,9582988,0,,,,,
S8,1193,303878.9,9582988,0,,,,,
S8,1194,303898.9,9582988,0,,,,,
S8,1195,303918.9,9582988,0,,,,,
S8,1196,303938.9,9582988,0,,,,,
S8,1197,303958.9,9582988,0,,,,,
S8,1198,303978.9,9582988,0,,,,,
S8,1199,303998.9,9582988,0,,,,,
S8,1200,304018.9,9582988,0,,,,,
S8,1201,304038.9,9582988,0,,,,,
S8,1202,304058.9,9582988,0,,,,,
S8,1203,304078.9,9582988,0,,,,,
S8,1204,304098.9,9582988,0,,,,,
S8,1205,304118.9,9582988,0,,,,,
S8,1206,304138.9,9582988,0,,,,,
S8,1207,304158.9,9582988,0,,,,,
S8,1208,304178.9,9582988,0,,,,,
S8,1209,304198.9,9582988,0,,,,,
S8,1210,304218.9,9582988,0,,,,,
S8,1211,304238.9,9582988,0,,,,,
S8,1212,304258.9,9582988,0,,,,,
S8,1213,304278.9,9582988,0,,,,,
S8,1214,304298.9,9582988,0,,,,,
S8,1215,304318.9,9582988,0,,,,,
S8,1216,304338.9,9582988,0,,,,,
S8,1217,304358.9,9582988,0,,,,,
S8,1218,304378.9,9582988,0,,,,,
S8,1219,304398.9,9582988,0,,,,,
S8,1220,304418.9,9582988,0,,,,,
S8,1221,304438.9,9582988,0,,,,,
S8,1222,304458.9,9582988,0,,,,,
S8,1223,304478.9,9582988,0,,,,,
S8,1224,304498.9,9582988,0,,,,,
S8,1225,304518.9,9582988,0,,,,,
S8,1226,304538.9,9582988,0,,,,,
S8,1227,304558.9,9582988,0,,,,,
S8,1228,304578.9,9582988,0,,,,,
S8,1229,304598.9,9582988,0,,,,,
S8,1230,304618.9,9582988,0,,,,,
S8,1231,304638.9,9582988,0,,,,,
S8,1232,304658.9,9582988,0,,,,,
S8,1233,304678.9,9582988,0,,,,,
S8,1234,304698.9,9582988,0,,,,,
S8,1235,304718.9,9582988,0,,,,,
S8,1236,304738.9,9582988,0,,,,,
S8,1237,304758.9,9582988,0,,,,,
S8,1238,304778.9,9582988,0,,,,,
S8,1239,304798.9,9582988,0,,,,,
S8,1240,304818.9,9582988,0,,,,,
S8,1241,304838.9,9582988,0,,,,,
S8,1242,304858.9,9582988,0,,,,,
S8,1243,304878.9,9582988,0,,,,,
S8,1244,304898.9,9582988,0,,,,,
S8,1245,304918.9,9582988,0,,,,,
S8,1246,304938.9,9582988,0,,,,,
S8,1247,304958.9,9582988,0,,,,,
S8,1248,304978.9,9582988,0,,,,,
S8,1249,304998.9,9582988,0,,,,,
S8,1250,305018.9,9582988,0,,,,,
S8,1251,305038.9,9582988,0,,,,,
S8,1252,305058.9,9582988,0,,,,,
S8,1253,305078.9,9582988,0,,,,,
S8,1254,305098.9,9582988,0,,,,,
S8,1255,305118.9,9582988,0,,,,,
S8,1256,305138.9,9582988,0,,,,,
S8,1257,305158.9,9582988,0,,,,,
S8,1258,305178.9,9582988,0,,,,,
S8,1259,305198.9,9582988,0,,,,,
S8,1260,305218.9,9582988,0,,,,,
S8,1261,305238.9,9582988,0,,,,,
S8,1262,305258.9,9582988,0,,,,,
S8,1263,305278.9,9582988,0,,,,,
S8,1264,305298.9,9582988,0,,,,,
S8,1265,305318.9,9582988,0,,,,,
S8,1266,305338.9,9582988,0,,,,,
S8,1267,305358.9,9582988,0,,,,,
S8,1268,305378.9,9582988,0,,,,,
S8,1269,305398.9,9582988,0,,,,,
S8,1270,305418.9,9582988,0,,,,,
S8,1271,305438.9,9582988,0,,,,,
S8,1272,305458.9,9582988,0,,,,,
S8,1273,305478.9,9582988,0,,,,,
S8,1274,305498.9,9582988,0,,,,,
S8,1275,305518.9,9582988,0,,,,,
S8,1276,305538.9,9582988,0,,,,,
S8,1277,305558.9,9582988,0,,,,,
S8,1278,305578.9,9582988,0,,,,,
S8,1279,305598.9,9582988,0,,,,,
S8,1280,305618.9,9582988,0,,,,,
S8,1281,305638.9,9582988,0,,,,,
S8,1282,305658.9,9582988,0,,,,,
S8,1283,305678.9,9582988,0,,,,,
S8,1284,305698.9,9582988,0,,,,,
S8,1285,305718.9,9582988,0,,,,,
S8,1286,305738.9,9582988,0,,,,,
S8,1287,305758.9,9582988,0,,,,,
S8,1288,305778.9,9582988,0,,,,,
S8,1289,305798.9,9582988,0,,,,,
S8,1290,305818.9,9582988,0,,,,,
S8,1291,305838.9,9582988,0,,,,,
S8,1292,305858.9,9582988,0,,,,,
S8,1293,305878.9,9582988,0,,,,,
S8,1294,305898.9,9582988,0,,,,,
S8,1295,305918.9,9582988,0,,,,,
S9,1151,303038.9,9583138,0,Shoot,Fleet1,Oge,2025-12-30,
S9,1152,303058.9,9583138,0,Shoot,Fleet1,Oge,2025-12-30,
S9,1153,303078.9,9583138,0,Shoot,Fleet1,Oge,2025-12-30,
S9,1154,303098.9,9583138,0,Shoot,Fleet1,Oge,2025-12-30,
S9,1155,303118.9,9583138,0,Shoot,Fleet1,Oge,2025-12-30,
S9,1156,303138.9,9583138,0,Shoot,Fleet1,Oge,2025-12-30,
S9,1157,303158.9,9583138,0,Shoot,Fleet1,Oge,2025-12-30,
S9,1158,303178.9,9583138,0,Shoot,Fleet1,Oge,2025-12-30,
S9,1159,303198.9,9583138,0,Shoot,Fleet1,Oge,2025-12-30,
S9,1160,303218.9,9583138,0,Shoot,Fleet1,Oge,2025-12-30,
S9,1161,303238.9,9583138,0,,,,,
S9,1162,303258.9,9583138,0,,,,,
S9,1163,303278.9,9583138,0,,,,,
S9,1164,303298.9,9583138,0,,,,,
S9,1165,303318.9,9583138,0,,,,,
S9,1166,303338.9,9583138,0,,,,,
S9,1167,303358.9,9583138,0,,,,,
S9,1168,303378.9,9583138,0,,,,,
S9,1169,303398.9,9583138,0,,,,,
S9,1170,303418.9,9583138,0,,,,,
S9,1171,303438.9,9583138,0,,,,,
S9,1172,303458.9,9583138,0,,,,,
