Line,No,East,North,Elevation,Progress,Crew,Remark,Date,Type
R31,5068,303251.9,9582536,0,,,,,
R31,5069,303251.9,9582546,0,,,,,
R31,5070,303251.9,9582556,0,,,,,
R31,5071,303251.9,9582566,0,,,,,
R31,5072,303251.9,9582576,0,,,,,
R31,5073,303251.9,9582586,0,,,,,
R31,5074,303251.9,9582596,0,,,,,
R31,5075,303251.9,9582606,0,,,,,
R31,5076,303251.9,9582616,0,,,,,
R31,5077,303251.9,9582626,0,,,,,
R31,5078,303251.9,9582636,0,,,,,
R31,5079,303251.9,9582646,0,,,,,
R31,5080,303251.9,9582656,0,,,,,
R31,5081,303251.9,9582666,0,,,,,
R31,5082,303251.9,9582676,0,,,,,
R31,5083,303251.9,9582686,0,,,,,
R31,5084,303251.9,9582696,0,,,,,
R31,5085,303251.9,9582706,0,,,,,
R31,5086,303251.9,9582716,0,,,,,
R31,5087,303251.9,9582726,0,,,,,
R31,5088,303251.9,9582736,0,,,,,
R31,5089,303251.9,9582746,0,,,,,
R31,5090,303251.9,9582756,0,,,,,
R31,5091,303251.9,9582766,0,,,,,
R31,5092,303251.9,9582776,0,,,,,
R31,5093,303251.9,9582786,0,,,,,
R31,5094,303251.9,9582796,0,,,,,
R31,5095,303251.9,9582806,0,,,,,
R31,5096,303251.9,9582816,0,,,,,
R31,5097,303251.9,9582826,0,,,,,
R31,5098,303251.9,9582836,0,,,,,
R31,5099,303251.9,9582846,0,,,,,
R31,5100,303251.9,9582856,0,,,,,
R31,5101,303251.9,9582866,0,,,,,
R31,5102,303251.9,9582876,0,,,,,
R31,5103,303251.9,9582886,0,,,,,
R31,5104,303251.9,9582896,0,,,,,
R31,5105,303251.9,9582906,0,,,,,
R31,5106,303251.9,9582916,0,,,,,
R31,5107,303251.9,9582926,0,,,,,
R31,5108,303251.9,9582936,0,,,,,
R31,5109,303251.9,9582946,0,,,,,
R31,5110,303251.9,9582956,0,,,,,
R31,5111,303251.9,9582966,0,,,,,
R31,5112,303251.9,9582976,0,,,,,
R31,5113,303251.9,9582986,0,,,,,
R31,5114,303251.9,9582996,0,,,,,
R31,5115,303251.9,9583006,0,,,,,
R31,5116,303251.9,9583016,0,,,,,
R31,5117,303251.9,9583026,0,,,,,
R31,5118,303251.9,9583036,0,,,,,
R31,5119,303251.9,9583046,0,,,,,
R31,5120,303251.9,9583056,0,,,,,
R31,5121,303251.9,9583066,0,,,,,
R31,5122,303251.9,9583076,0,,,,,
R31,5123,303251.9,9583086,0,,,,,
R31,5124,303251.9,9583096,0,,,,,
R31,5125,303251.9,9583106,0,,,,,
R31,5126,303251.9,9583116,0,,,,,
R31,5127,303251.9,9583126,0,,,,,
R31,5128,303251.9,9583136,0,,,,,
R31,5129,303251.9,9583146,0,,,,,
R31,5130,303251.9,9583156,0,,,,,
R31,5131,303251.9,9583166,0,,,,,
R31,5132,303251.9,9583176,0,,,,,
R31,5133,303251.9,9583186,0,,,,,
R31,5134,303251.9,9583196,0,,,,,
R31,5135,303251.9,9583206,0,,,,,
R31,5136,303251.9,9583216,0,,,,,
R31,5137,303251.9,9583226,0,,,,,
R31,5138,303251.9,9583236,0,,,,,
R31,5139,303251.9,9583246,0,,,,,
R31,5140,303251.9,9583256,0,,,,,
R31,5141,303251.9,9583266,0,,,,,
R31,5142,303251.9,9583276,0,,,,,
R31,5143,303251.9,9583286,0,,,,,
R31,5144,303251.9,9583296,0,,,,,
R31,5145,303251.9,9583306,0,,,,,
R31,5146,303251.9,9583316,0,,,,,
R31,5147,303251.9,9583326,0,,,,,
R31,5148,303251.9,9583336,0,,,,,
R31,5149,303251.9,9583346,0,,,,,
R31,5150,303251.9,9583356,0,,,,,
R31,5151,303251.9,9583366,0,,,,,
R31,5152,303251.9,9583376,0,,,,,
R31,5153,303251.9,9583386,0,,,,,
R31,5154,303251.9,9583396,0,,,,,
R31,5155,303251.9,9583406,0,,,,,
R31,5156,303251.9,9583416,0,,,,,
R31,5157,303251.9,9583426,0,,,,,
R31,5158,303251.9,9583436,0,,,,,
R31,5159,303251.9,9583446,0,,,,,
R31,5160,303251.9,9583456,0,,,,,
R31,5161,303251.9,9583466,0,,,,,
R31,5162,303251.9,9583476,0,,,,,
R31,5163,303251.9,9583486,0,,,,,
R31,5164,303251.9,9583496,0,,,,,
R31,5165,303251.9,9583506,0,,,,,
R31,5166,303251.9,9583516,0,,,,,
R31,5167,303251.9,9583526,0,,,,,
R31,5168,303251.9,9583536,0,,,,,
R31,5169,303251.9,9583546,0,,,,,
R31,5170,303251.9,9583556,0,,,,,
R31,5171,303251.9,9583566,0,,,,,
R31,5172,303251.9,9583576,0,,,,,
R31,5173,303251.9,9583586,0,,,,,
R31,5174,303251.9,9583596,0,,,,,
R31,5175,303251.9,9583606,0,,,,,
R31,5176,303251.9,9583616,0,,,,,
R31,5177,303251.9,9583626,0,,,,,
R31,5178,303251.9,9583636,0,,,,,
R31,5179,303251.9,9583646,0,,,,,
R31,5180,303251.9,9583656,0,,,,,
R31,5181,303251.9,9583666,0,,,,,
R31,5182,303251.9,9583676,0,,,,,
R31,5183,303251.9,9583686,0,,,,,
R31,5184,303251.9,9583696,0,,,,,
R31,5185,303251.9,9583706,0,,,,,
R31,5186,303251.9,9583716,0,,,,,
R31,5187,303251.9,9583726,0,,,,,
R31,5188,303251.9,9583736,0,,,,,
R31,5189,303251.9,9583746,0,,,,,
R31,5190,303251.9,9583756,0,,,,,
R31,5191,303251.9,9583766,0,,,,,
R31,5192,303251.9,9583776,0,,,,,
R31,5193,303251.9,9583786,0,,,,,
R31,5194,303251.9,9583796,0,,,,,
R31,5195,303251.9,9583806,0,,,,,
R31,5196,303251.9,9583816,0,,,,,
R31,5197,303251.9,9583826,0,,,,,
R31,5198,303251.9,9583836,0,,,,,
R31,5199,303251.9,9583846,0,,,,,
R31,5200,303251.9,9583856,0,,,,,
R31,5201,303251.9,9583866,0,,,,,
R31,5202,303251.9,9583876,0,,,,,
R31,5203,303251.9,9583886,0,,,,,
R31,5204,303251.9,9583896,0,,,,,
R31,5205,303251.9,9583906,0,,,,,
R31,5206,303251.9,9583916,0,,,,,
R31,5207,303251.9,9583926,0,,,,,
R31,5208,303251.9,9583936,0,,,,,
R31,5209,303251.9,9583946,0,,,,,
R31,5210,303251.9,9583956,0,,,,,
R31,5211,303251.9,9583966,0,,,,,
R31,5212,303251.9,9583976,0,,,,,
R31,5213,303251.9,9583986,0,,,,,
R31,5214,303251.9,9583996,0,,,,,
R31,5215,303251.9,9584006,0,,,,,
R31,5216,303251.9,9584016,0,,,,,
R31,5217,303251.9,9584026,0,,,,,
R31,5218,303251.9,9584036,0,,,,,
R31,5219,303251.9,9584046,0,,,,,
R31,5220,303251.9,9584056,0,,,,,
R31,5221,303251.9,9584066,0,,,,,
R31,5222,303251.9,9584076,0,,,,,
R31,5223,303251.9,9584086,0,,,,,
R31,5224,303251.9,9584096,0,,,,,
R31,5225,303251.9,9584106,0,,,,,
R31,5226,303251.9,9584116,0,,,,,
R31,5227,303251.9,9584126,0,,,,,
R31,5228,303251.9,9584136,0,,,,,
R31,5229,303251.9,9584146,0,,,,,
R31,5230,303251.9,9584156,0,,,,,
R31,5231,303251.9,9584166,0,,,,,
R31,5232,303251.9,9584176,0,,,,,
R31,5233,303251.9,9584186,0,,,,,
R31,5234,303251.9,9584196,0,,,,,
R31,5235,303251.9,9584206,0,,,,,
R31,5236,303251.9,9584216,0,,,,,
R31,5237,303251.9,9584226,0,,,,,
R31,5238,303251.9,9584236,0,,,,,
R31,5239,303251.9,9584246,0,,,,,
R31,5240,303251.9,9584256,0,,,,,
R31,5241,303251.9,9584266,0,,,,,
R31,5242,303251.9,9584276,0,,,,,
R31,5243,303251.9,9584286,0,,,,,
R31,5244,303251.9,9584296,0,,,,,
R31,5245,303251.9,9584306,0,,,,,
R31,5246,303251.9,9584316,0,,,,,
R31,5247,303251.9,9584326,0,,,,,
R31,5248,303251.9,9584336,0,,,,,
R31,5249,303251.9,9584346,0,,,,,
R31,5250,303251.9,9584356,0,,,,,
R31,5251,303251.9,9584366,0,,,,,
R31,5252,303251.9,9584376,0,,,,,
R31,5253,303251.9,9584386,0,,,,,
R31,5254,303251.9,9584396,0,,,,,
R31,5255,303251.9,9584406,0,,,,,
R31,5256,303251.9,9584416,0,,,,,
R31,5257,303251.9,9584426,0,,,,,
R31,5258,303251.9,9584436,0,,,,,
R31,5259,303251.9,9584446,0,,,,,
R31,5260,303251.9,9584456,0,,,,,
R31,5261,303251.9,9584466,0,,,,,
R31,5262,303251.9,9584476,0,,,,,
R31,5263,303251.9,9584486,0,,,,,
R31,5264,303251.9,9584496,0,,,,,
R31,5265,303251.9,9584506,0,,,,,
R31,5266,303251.9,9584516,0,,,,,
R31,5267,303251.9,9584526,0,,,,,
R31,5268,303251.9,9584536,0,,,,,
R31,5269,303251.9,9584546,0,,,,,
R31,5270,303251.9,9584556,0,,,,,
R31,5271,303251.9,9584566,0,,,,,
R31,5272,303251.9,9584576,0,,,,,
R31,5273,303251.9,9584586,0,,,,,
R31,5274,303251.9,9584596,0,,,,,
R31,5275,303251.9,9584606,0,,,,,
R31,5276,303251.9,9584616,0,,,,,
R31,5277,303251.9,9584626,0,,,,,
R31,5278,303251.9,9584636,0,,,,,
R31,5279,303251.9,9584646,0,,,,,
R31,5280,303251.9,9584656,0,,,,,
R31,5281,303251.9,9584666,0,,,,,
R31,5282,303251.9,9584676,0,,,,,
R31,5283,303251.9,9584686,0,,,,,
R31,5284,303251.9,9584696,0,,,,,
R31,5285,303251.9,9584706,0,,,,,
R31,5286,303251.9,9584716,0,,,,,
R31,5287,303251.9,9584726,0,,,,,
R31,5288,303251.9,9584736,0,,,,,
R31,5289,303251.9,9584746,0,,,,,
R31,5290,303251.9,9584756,0,,,,,
R31,5291,303251.9,9584766,0,,,,,
R31,5292,303251.9,9584776,0,,,,,
R31,5293,303251.9,9584786,0,,,,,
R31,5294,303251.9,9584796,0,,,,,
R31,5295,303251.9,9584806,0,,,,,
R31,5296,303251.9,9584816,0,,,,,
R31,5297,303251.9,9584826,0,,,,,
R31,5298,303251.9,9584836,0,,,,,
R31,5299,303251.9,9584846,0,,,,,
R31,5300,303251.9,9584856,0,,,,,
R31,5301,303251.9,9584866,0,,,,,
R31,5302,303251.9,9584876,0,,,,,
R31,5303,303251.9,9584886,0,,,,,
R31,5304,303251.9,9584896,0,,,,,
R31,5305,303251.9,9584906,0,,,,,
R31,5306,303251.9,9584916,0,,,,,
R31,5307,303251.9,9584926,0,,,,,
R31,5308,303251.9,9584936,0,,,,,
R31,5309,303251.9,9584946,0,,,,,
R31,5310,303251.9,9584956,0,,,,,
R31,5311,303251.9,9584966,0,,,,,
R31,5312,303251.9,9584976,0,,,,,
R31,5313,303251.9,9584986,0,,,,,
R31,5314,303251.9,9584996,0,,,,,
R31,5315,303251.9,9585006,0,,,,,
R31,5316,303251.9,9585016,0,,,,,
R31,5317,303251.9,9585026,0,,,,,
R31,5318,303251.9,9585036,0,,,,,
R31,5319,303251.9,9585046,0,,,,,
R31,5320,303251.9,9585056,0,,,,,
R31,5321,303251.9,9585066,0,,,,,
R31,5322,303251.9,9585076,0,,,,,
R31,5323,303251.9,9585086,0,,,,,
R31,5324,303251.9,9585096,0,,,,,
R31,5325,303251.9,9585106,0,,,,,
R31,5326,303251.9,9585116,0,,,,,
R31,5327,303251.9,9585126,0,,,,,
R31,5328,303251.9,9585136,0,,,,,
R31,5329,303251.9,9585146,0,,,,,
R31,5330,303251.9,9585156,0,,,,,
R31,5331,303251.9,9585166,0,,,,,
R31,5332,303251.9,9585176,0,,,,,
R31,5333,303251.9,9585186,0,,,,,
R31,5334,303251.9,9585196,0,,,,,
R31,5335,303251.9,9585206,0,,,,,
R31,5336,303251.9,9585216,0,,,,,
R31,5337,303251.9,9585226,0,,,,,
R31,5338,303251.9,9585236,0,,,,,
R31,5339,303251.9,9585246,0,,,,,
R31,5340,303251.9,9585256,0,,,,,
R31,5341,303251.9,9585266,0,,,,,
R31,5342,303251.9,9585276,0,,,,,
R31,5343,303251.9,9585286,0,,,,,
R31,5344,303251.9,9585296,0,,,,,
R31,5345,303251.9,9585306,0,,,,,
R31,5346,303251.9,9585316,0,,,,,
R31,5347,303251.9,9585326,0,,,,,
R31,5348,303251.9,9585336,0,,,,,
R31,5349,303251.9,9585346,0,,,,,
R31,5350,303251.9,9585356,0,,,,,
R31,5351,303251.9,9585366,0,,,,,
R31,5352,303251.9,9585376,0,,,,,
R31,5353,303251.9,9585386,0,,,,,
R31,5354,303251.9,9585396,0,,,,,
R31,5355,303251.9,9585406,0,,,,,
R31,5356,303251.9,9585416,0,,,,,
R32,5076,303351.9,9582616,0,,,,,
R32,5077,303351.9,9582626,0,,,,,
R32,5078,303351.9,9582636,0,,,,,
R32,5079,303351.9,9582646,0,,,,,
R32,5080,303351.9,9582656,0,,,,,
R32,5081,303351.9,9582666,0,,,,,
R32,5082,303351.9,9582676,0,,,,,
R32,5083,303351.9,9582686,0,,,,,
R32,5084,303351.9,9582696,0,,,,,
R32,5085,303351.9,9582706,0,,,,,
R32,5086,303351.9,9582716,0,,,,,
R32,5087,303351.9,9582726,0,,,,,
R32,5088,303351.9,9582736,0,,,,,
R32,5089,303351.9,9582746,0,,,,,
R32,5090,303351.9,9582756,0,,,,,
R32,5091,303351.9,9582766,0,,,,,
R32,5092,303351.9,9582776,0,,,,,
R32,5093,303351.9,9582786,0,,,,,
R32,5094,303351.9,9582796,0,,,,,
R32,5095,303351.9,9582806,0,,,,,
R32,5096,303351.9,9582816,0,,,,,
R32,5097,303351.9,9582826,0,,,,,
R32,5098,303351.9,9582836,0,,,,,
R32,5099,303351.9,9582846,0,,,,,
R32,5100,303351.9,9582856,0,,,,,
R32,5101,303351.9,9582866,0,,,,,
R32,5102,303351.9,9582876,0,,,,,
R32,5103,303351.9,9582886,0,,,,,
R32,5104,303351.9,9582896,0,,,,,
R32,5105,303351.9,9582906,0,,,,,
R32,5106,303351.9,9582916,0,,,,,
R32,5107,303351.9,9582926,0,,,,,
R32,5108,303351.9,9582936,0,,,,,
R32,5109,303351.9,9582946,0,,,,,
R32,5110,303351.9,9582956,0,,,,,
R32,5111,303351.9,9582966,0,,,,,
R32,5112,303351.9,9582976,0,,,,,
R32,5113,303351.9,9582986,0,,,,,
R32,5114,303351.9,9582996,0,,,,,
R32,5115,303351.9,9583006,0,,,,,
R32,5116,303351.9,9583016,0,,,,,
R32,5117,303351.9,9583026,0,,,,,
R32,5118,303351.9,9583036,0,,,,,
R32,5119,303351.9,9583046,0,,,,,
R32,5120,303351.9,9583056,0,,,,,
R32,5121,303351.9,9583066,0,,,,,
R32,5122,303351.9,9583076,0,,,,,
R32,5123,303351.9,9583086,0,,,,,
R32,5124,303351.9,9583096,0,,,,,
R32,5125,303351.9,9583106,0,,,,,
R32,5126,303351.9,9583116,0,,,,,
R32,5127,303351.9,9583126,0,,,,,
R32,5128,303351.9,9583136,0,,,,,
R32,5129,303351.9,9583146,0,,,,,
R32,5130,303351.9,9583156,0,,,,,
R32,5131,303351.9,9583166,0,,,,,
R32,5132,303351.9,9583176,0,,,,,
R32,5133,303351.9,9583186,0,,,,,
R32,5134,303351.9,9583196,0,,,,,
R32,5135,303351.9,9583206,0,,,,,
R32,5136,303351.9,9583216,0,,,,,
R32,5137,303351.9,9583226,0,,,,,
R32,5138,303351.9,9583236,0,,,,,
R32,5139,303351.9,9583246,0,,,,,
R32,5140,303351.9,9583256,0,,,,,
R32,5141,303351.9,9583266,0,,,,,
R32,5142,303351.9,9583276,0,,,,,
R32,5143,303351.9,9583286,0,,,,,
R32,5144,303351.9,9583296,0,,,,,
R32,5145,303351.9,9583306,0,,,,,
R32,5146,303351.9,9583316,0,,,,,
R32,5147,303351.9,9583326,0,,,,,
R32,5148,303351.9,9583336,0,,,,,
R32,5149,303351.9,9583346,0,,,,,
R32,5150,303351.9,9583356,0,,,,,
R32,5151,303351.9,9583366,0,,,,,
R32,5152,303351.9,9583376,0,,,,,
R32,5153,303351.9,9583386,0,,,,,
R32,5154,303351.9,9583396,0,,,,,
R32,5155,303351.9,9583406,0,,,,,
R32,5156,303351.9,9583416,0,,,,,
R32,5157,303351.9,9583426,0,,,,,
R32,5158,303351.9,9583436,0,,,,,
R32,5159,303351.9,9583446,0,,,,,
R32,5160,303351.9,9583456,0,,,,,
R32,5161,303351.9,9583466,0,,,,,
R32,5162,303351.9,9583476,0,,,,,
R32,5163,303351.9,9583486,0,,,,,
R32,5164,303351.9,9583496,0,,,,,
R32,5165,303351.9,9583506,0,,,,,
R32,5166,303351.9,9583516,0,,,,,
R32,5167,303351.9,9583526,0,,,,,
R32,5168,303351.9,9583536,0,,,,,
R32,5169,303351.9,9583546,0,,,,,
R32,5170,303351.9,9583556,0,,,,,
R32,5171,303351.9,9583566,0,,,,,
R32,5172,303351.9,9583576,0,,,,,
R32,5173,303351.9,9583586,0,,,,,
R32,5174,303351.9,9583596,0,,,,,
R32,5175,303351.9,9583606,0,,,,,
R32,5176,303351.9,9583616,0,,,,,
R32,5177,303351.9,9583626,0,,,,,
R32,5178,303351.9,9583636,0,,,,,
R32,5179,303351.9,9583646,0,,,,,
R32,5180,303351.9,9583656,0,,,,,
R32,5181,303351.9,9583666,0,,,,,
R32,5182,303351.9,9583676,0,,,,,
R32,5183,303351.9,9583686,0,,,,,
R32,5184,303351.9,9583696,0,,,,,
R32,5185,303351.9,9583706,0,,,,,
R32,5186,303351.9,9583716,0,,,,,
R32,5187,303351.9,9583726,0,,,,,
R32,5188,303351.9,9583736,0,,,,,
R32,5189,303351.9,9583746,0,,,,,
R32,5190,303351.9,9583756,0,,,,,
R32,5191,303351.9,9583766,0,,,,,
R32,5192,303351.9,9583776,0,,,,,
R32,5193,303351.9,9583786,0,,,,,
R32,5194,303351.9,9583796,0,,,,,
R32,5195,303351.9,9583806,0,,,,,
R32,5196,303351.9,9583816,0,,,,,
R32,5197,303351.9,9583826,0,,,,,
R32,5198,303351.9,9583836,0,,,,,
R32,5199,303351.9,9583846,0,,,,,
R32,5200,303351.9,9583856,0,,,,,
R32,5201,303351.9,9583866,0,,,,,
R32,5202,303351.9,9583876,0,,,,,
R32,5203,303351.9,9583886,0,,,,,
R32,5204,303351.9,9583896,0,,,,,
R32,5205,303351.9,9583906,0,,,,,
R32,5206,303351.9,9583916,0,,,,,
R32,5207,303351.9,9583926,0,,,,,
R32,5208,303351.9,9583936,0,,,,,
R32,5209,303351.9,9583946,0,,,,,
R32,5210,303351.9,9583956,0,,,,,
R32,5211,303351.9,9583966,0,,,,,
R32,5212,303351.9,9583976,0,,,,,
R32,5213,303351.9,9583986,0,,,,,
R32,5214,303351.9,9583996,0,,,,,
R32,5215,303351.9,9584006,0,,,,,
R32,5216,303351.9,9584016,0,,,,,
R32,5217,303351.9,9584026,0,,,,,
R32,5218,303351.9,9584036,0,,,,,
R32,5219,303351.9,9584046,0,,,,,
R32,5220,303351.9,9584056,0,,,,,
R32,5221,303351.9,9584066,0,,,,,
R32,5222,303351.9,9584076,0,,,,,
R32,5223,303351.9,9584086,0,,,,,
R32,5224,303351.9,9584096,0,,,,,
R32,5225,303351.9,9584106,0,,,,,
R32,5226,303351.9,9584116,0,,,,,
R32,5227,303351.9,9584126,0,,,,,
R32,5228,303351.9,9584136,0,,,,,
R32,5229,303351.9,9584146,0,,,,,
R32,5230,303351.9,9584156,0,,,,,
R32,5231,303351.9,9584166,0,,,,,
R32,5232,303351.9,9584176,0,,,,,
R32,5233,303351.9,9584186,0,,,,,
R32,5234,303351.9,9584196,0,,,,,
R32,5235,303351.9,9584206,0,,,,,
R32,5236,303351.9,9584216,0,,,,,
R32,5237,303351.9,9584226,0,,,,,
R32,5238,303351.9,9584236,0,,,,,
R32,5239,303351.9,9584246,0,,,,,
R32,5240,303351.9,9584256,0,,,,,
R32,5241,303351.9,9584266,0,,,,,
R32,5242,303351.9,9584276,0,,,,,
R32,5243,303351.9,9584286,0,,,,,
R32,5244,303351.9,9584296,0,,,,,
R32,5245,303351.9,9584306,0,,,,,
R32,5246,303351.9,9584316,0,,,,,
R32,5247,303351.9,9584326,0,,,,,
R32,5248,303351.9,9584336,0,,,,,
R32,5249,303351.9,9584346,0,,,,,
R32,5250,303351.9,9584356,0,,,,,
R32,5251,303351.9,9584366,0,,,,,
R32,5252,303351.9,9584376,0,,,,,
R32,5253,303351.9,9584386,0,,,,,
R32,5254,303351.9,9584396,0,,,,,
R32,5255,303351.9,9584406,0,,,,,
R32,5256,303351.9,9584416,0,,,,,
R32,5257,303351.9,9584426,0,,,,,
R32,5258,303351.9,9584436,0,,,,,
R32,5259,303351.9,9584446,0,,,,,
R32,5260,303351.9,9584456,0,,,,,
R32,5261,303351.9,9584466,0,,,,,
R32,5262,303351.9,9584476,0,,,,,
R32,5263,303351.9,9584486,0,,,,,
R32,5264,303351.9,9584496,0,,,,,
R32,5265,303351.9,9584506,0,,,,,
R32,5266,303351.9,9584516,0,,,,,
R32,5267,303351.9,9584526,0,,,,,
R32,5268,303351.9,9584536,0,,,,,
R32,5269,303351.9,9584546,0,,,,,
R32,5270,303351.9,9584556,0,,,,,
R32,5271,303351.9,9584566,0,,,,,
R32,5272,303351.9,9584576,0,,,,,
R32,5273,303351.9,9584586,0,,,,,
R32,5274,303351.9,9584596,0,,,,,
R32,5275,303351.9,9584606,0,,,,,
R32,5276,303351.9,9584616,0,,,,,
R32,5277,303351.9,9584626,0,,,,,
R32,5278,303351.9,9584636,0,,,,,
R32,5279,303351.9,9584646,0,,,,,
R32,5280,303351.9,9584656,0,,,,,
R32,5281,303351.9,9584666,0,,,,,
R32,5282,303351.9,9584676,0,,,,,
R32,5283,303351.9,9584686,0,,,,,
R32,5284,303351.9,9584696,0,,,,,
R32,5285,303351.9,9584706,0,,,,,
R32,5286,303351.9,9584716,0,,,,,
R32,5287,303351.9,9584726,0,,,,,
R32,5288,303351.9,9584736,0,,,,,
R32,5289,303351.9,9584746,0,,,,,
R32,5290,303351.9,9584756,0,,,,,
R32,5291,303351.9,9584766,0,,,,,
R32,5292,303351.9,9584776,0,,,,,
R32,5293,303351.9,9584786,0,,,,,
R32,5294,303351.9,9584796,0,,,,,
R32,5295,303351.9,9584806,0,,,,,
R32,5296,303351.9,9584816,0,,,,,
R32,5297,303351.9,9584826,0,,,,,
R32,5298,303351.9,9584836,0,,,,,
R32,5299,303351.9,9584846,0,,,,,
R32,5300,303351.9,9584856,0,,,,,
R32,5301,303351.9,9584866,0,,,,,
R32,5302,303351.9,9584876,0,,,,,
R32,5303,303351.9,9584886,0,,,,,
R32,5304,303351.9,9584896,0,,,,,
R32,5305,303351.9,9584906,0,,,,,
R32,5306,303351.9,9584916,0,,,,,
R32,5307,303351.9,9584926,0,,,,,
R32,5308,303351.9,9584936,0,,,,,
R32,5309,303351.9,9584946,0,,,,,
R32,5310,303351.9,9584956,0,,,,,
R32,5311,303351.9,9584966,0,,,,,
R32,5312,303351.9,9584976,0,,,,,
R32,5313,303351.9,9584986,0,,,,,
R32,5314,303351.9,9584996,0,,,,,
R32,5315,303351.9,9585006,0,,,,,
R32,5316,303351.9,9585016,0,,,,,
R32,5317,303351.9,9585026,0,,,,,
R32,5318,303351.9,9585036,0,,,,,
R32,5319,303351.9,9585046,0,,,,,
R32,5320,303351.9,9585056,0,,,,,
R32,5321,303351.9,9585066,0,,,,,
R32,5322,303351.9,9585076,0,,,,,
R32,5323,303351.9,9585086,0,,,,,
R32,5324,303351.9,9585096,0,,,,,
R32,5325,303351.9,9585106,0,,,,,
R32,5326,303351.9,9585116,0,,,,,
R32,5327,303351.9,9585126,0,,,,,
R32,5328,303351.9,9585136,0,,,,,
R32,5329,303351.9,9585146,0,,,,,
R32,5330,303351.9,9585156,0,,,,,
R32,5331,303351.9,9585166,0,,,,,
R32,5332,303351.9,9585176,0,,,,,
R32,5333,303351.9,9585186,0,,,,,
R32,5334,303351.9,9585196,0,,,,,
R32,5335,303351.9,9585206,0,,,,,
R32,5336,303351.9,9585216,0,,,,,
R32,5337,303351.9,9585226,0,,,,,
R32,5338,303351.9,9585236,0,,,,,
R32,5339,303351.9,9585246,0,,,,,
R32,5340,303351.9,9585256,0,,,,,
R32,5341,303351.9,9585266,0,,,,,
R32,5342,303351.9,9585276,0,,,,,
R32,5343,303351.9,9585286,0,,,,,
R32,5344,303351.9,9585296,0,,,,,
R32,5345,303351.9,9585306,0,,,,,
R32,5346,303351.9,9585316,0,,,,,
R32,5347,303351.9,9585326,0,,,,,
R32,5348,303351.9,9585336,0,,,,,
R32,5349,303351.9,9585346,0,,,,,
R32,5350,303351.9,9585356,0,,,,,
R32,5351,303351.9,9585366,0,,,,,
R32,5352,303351.9,9585376,0,,,,,
R32,5353,303351.9,9585386,0,,,,,
R32,5354,303351.9,9585396,0,,,,,
R32,5355,303351.9,9585406,0,,,,,
R32,5356,303351.9,9585416,0,,,,,
R33,5076,303451.9,9582616,0,,,,,
R33,5077,303451.9,9582626,0,,,,,
R33,5078,303451.9,9582636,0,,,,,
R33,5079,303451.9,9582646,0,,,,,
R33,5080,303451.9,9582656,0,,,,,
R33,5081,303451.9,9582666,0,,,,,
R33,5082,303451.9,9582676,0,,,,,
R33,5083,303451.9,9582686,0,,,,,
R33,5084,303451.9,9582696,0,,,,,
R33,5085,303451.9,9582706,0,,,,,
R33,5086,303451.9,9582716,0,,,,,
R33,5087,303451.9,9582726,0,,,,,
R33,5088,303451.9,9582736,0,,,,,
R33,5089,303451.9,9582746,0,,,,,
R33,5090,303451.9,9582756,0,,,,,
R33,5091,303451.9,9582766,0,,,,,
R33,5092,303451.9,9582776,0,,,,,
R33,5093,303451.9,9582786,0,,,,,
