Line,No,East,North,Elevation,Progress,Crew,Remark,Date,Type
S6,1151,303263.9,9582932.9,0,,,,,
S6,1152,303283.9,9582933.1,0,,,,,
S6,1153,303303.8,9582932.9,0,,,,,
S6,1154,303323.8,9582933,0,,,,,
S6,1155,303344,9582933,0,,,,,
S6,1156,303363.9,9582933.1,0,,,,,
S6,1157,303383.8,9582933,0,,,,,
S6,1158,303403.9,9582933,0,,,,,
S6,1159,303423.9,9582933,0,,,,,
S6,1160,303443.9,9582933,0,,,,,
S6,1161,303463.9,9582933.1,0,,,,,
S6,1162,303484,9582933.1,0,,,,,
S6,1163,303503.8,9582933.1,0,,,,,
S6,1164,303523.9,9582933,0,,,,,
S6,1165,303543.9,9582933,0,,,,,
S6,1166,303563.9,9582933,0,,,,,
S6,1167,303583.9,9582933,0,,,,,
S6,1168,303603.9,9582933,0,,,,,
S6,1169,303623.9,9582933,0,,,,,
S6,1170,303643.9,9582933,0,,,,,
S6,1171,303663.9,9582928,0,,,,,
S6,1172,303683.9,9582928,0,,,,,
S6,1173,303703.9,9582928,0,,,,,
S6,1174,303723.9,9582928,0,,,,,
S6,1175,303743.9,9582928,0,,,,,
S6,1176,303764,9582928,0,,,,,
S6,1177,303783.9,9582923,0,,,,,
S6,1178,303803.9,9582923,0,,,,,
S6,1179,303823.9,9582923,0,,,,,
S6,1180,303843.9,9582923,0,,,,,
S6,1181,303863.9,9582923,0,,,,,
S6,1182,303883.9,9582923.1,0,,,,,
S6,1183,303904,9582923,0,,,,,
S6,1184,303923.9,9582923,0,,,,,
S6,1185,303943.8,9582923,0,,,,,
S6,1186,303963.9,9582923,0,,,,,
S6,1187,303983.9,9582923,0,,,,,
S6,1188,304003.9,9582923,0,,,,,
S6,1189,304023.9,9582923,0,,,,,
S6,1190,304043.9,9582923,0,,,,,
S6,1191,304063.9,9582923,0,,,,,
S6,1192,304083.9,9582923,0,,,,,
S6,1193,304103.9,9582923,0,,,,,
S6,1194,304123.9,9582923,0,,,,,
S6,1195,304143.9,9582923,0,,,,,
S6,1196,304163.9,9582923,0,,,,,
S6,1197,304183.8,9582923,0,,,,,
S6,1198,304203.9,9582923,0,,,,,
S6,1199,304223.9,9582922.6,0,,,,,
S6,1200,304243.9,9582922.9,0,,,,,
S6,1201,304263.9,9582923,0,,,,,
S6,1202,304283.9,9582923,0,,,,,
S6,1203,304303.9,9582923,0,,,,,
S6,1204,304323.9,9582922.2,0,,,,,
S6,1205,304343.9,9582921.6,0,,,,,
S6,1206,304363.9,9582921.5,0,,,,,
S6,1207,304383.9,9582921.7,0,,,,,
S6,1208,304404,9582921.6,0,,,,,
S6,1209,304423.9,9582921.4,0,,,,,
S6,1210,304444,9582919.1,0,,,,,
S6,1211,304463.7,9582917,0,,,,,
S6,1212,304483.9,9582914.9,0,,,,,
S6,1213,304503.8,9582913,0,,,,,
S6,1214,304524.3,9582914.7,0,,,,,
S6,1215,304544.1,9582915.8,0,,,,,
S6,1216,304563.8,9582916.5,0,,,,,
S6,1217,304583.9,9582917.8,0,,,,,
S6,1218,304603.9,9582916.9,0,,,,,
S6,1219,304623.9,9582915.8,0,,,,,
S6,1220,304643.8,9582914.7,0,,,,,
S6,1221,304663.9,9582913.6,0,,,,,
S6,1222,304683.9,9582912.7,0,,,,,
S6,1223,304703.9,9582911.8,0,,,,,
S6,1224,304723.7,9582911,0,,,,,
S6,1225,304743.9,9582910.1,0,,,,,
S6,1226,304763.9,9582909.2,0,,,,,
S6,1227,304783.9,9582908,0,,,,,
S6,1228,304803.9,9582907.4,0,,,,,
S6,1229,304823.9,9582906.7,0,,,,,
S6,1230,304843.9,9582906.2,0,,,,,
S6,1231,304863.8,9582907,0,,,,,
S6,1232,304883.9,9582908,0,,,,,
S6,1233,304903.9,9582908,0,,,,,
S6,1234,304923.9,9582908,0,,,,,
S6,1235,304943.8,9582908,0,,,,,
S6,1236,304963.9,9582907.8,0,,,,,
S6,1237,304983.9,9582904.8,0,,,,,
S6,1238,305003.9,9582901.8,0,,,,,
S6,1239,305023.9,9582903,0,,,,,
S6,1240,305043.9,9582918,0,,,,,
S6,1241,305063.9,9582938,0,,,,,
S6,1242,305083.9,9582953,0,,,,,
S6,1243,305103.9,9582958,0,,,,,
S6,1244,305123.9,9582963.7,0,,,,,
S6,1245,305143.9,9582973,0,,,,,
S6,1246,305163.9,9582983,0,,,,,
S6,1247,305184,9582993.1,0,,,,,
S6,1248,305204.3,9583003.2,0,,,,,
S6,1249,305223.9,9583012.7,0,,,,,
S6,1250,305243.9,9583008,0,,,,,
S7,1151,303263.9,9583063,0,,,,,
S7,1152,303283.9,9583063,0,,,,,
S7,1153,303303.9,9583063,0,,,,,
S7,1154,303323.9,9583063,0,,,,,
S7,1155,303343.9,9583063,0,,,,,
S7,1156,303363.9,9583063,0,,,,,
S7,1157,303383.9,9583063,0,,,,,
S7,1158,303403.9,9583063,0,,,,,
S7,1159,303423.9,9583063,0,,,,,
S7,1160,303443.9,9583063,0,,,,,
S7,1161,303463.9,9583063,0,,,,,
S7,1162,303483.9,9583063,0,,,,,
S7,1163,303503.9,9583063,0,,,,,
S7,1164,303523.9,9583063,0,,,,,
S7,1165,303543.9,9583063,0,,,,,
S7,1166,303563.9,9583063,0,,,,,
S7,1167,303583.9,9583063,0,,,,,
S7,1168,303603.9,9583063,0,,,,,
S7,1169,303623.9,9583063,0,,,,,
S7,1170,303643.9,9583063,0,,,,,
S7,1171,303663.9,9583063,0,,,,,
S7,1172,303683.9,9583063,0,,,,,
S7,1173,303703.9,9583063,0,,,,,
S7,1174,303723.9,9583063,0,,,,,
S7,1175,303743.9,9583063,0,,,,,
S7,1176,303763.9,9583063,0,,,,,
S7,1177,303783.9,9583063,0,,,,,
S7,1178,303803.9,9583063,0,,,,,
S7,1179,303823.9,9583063,0,,,,,
S7,1180,303843.9,9583063,0,,,,,
S7,1181,303863.9,9583063,0,,,,,
S7,1182,303883.9,9583063,0,,,,,
S7,1183,303903.9,9583063,0,,,,,
S7,1184,303923.9,9583063,0,,,,,
S7,1185,303943.9,9583063,0,,,,,
S7,1186,303963.9,9583063,0,,,,,
S7,1187,303983.9,9583063,0,,,,,
S7,1188,304003.9,9583063,0,,,,,
S7,1189,304023.9,9583063,0,,,,,
S7,1190,304043.9,9583063,0,,,,,
S7,1191,304063.9,9583063,0,,,,,
S7,1192,304083.9,9583063,0,,,,,
S7,1193,304103.9,9583063,0,,,,,
S7,1194,304123.9,9583063,0,,,,,
S7,1195,304143.9,9583063,0,,,,,
S7,1196,304163.9,9583063,0,,,,,
S7,1197,304183.9,9583063,0,,,,,
S7,1198,304203.9,9583063,0,,,,,
S7,1199,304223.9,9583063,0,,,,,
S7,1200,304243.9,9583063,0,,,,,
S7,1201,304263.9,9583063,0,,,,,
S7,1202,304283.9,9583063,0,,,,,
S7,1203,304303.9,9583063,0,,,,,
S7,1204,304323.9,9583063,0,,,,,
S7,1205,304343.9,9583063,0,,,,,
S7,1206,304363.9,9583063,0,,,,,
S7,1207,304383.9,9583063,0,,,,,
S7,1208,304403.9,9583063,0,,,,,
S7,1209,304423.9,9583063,0,,,,,
S7,1210,304443.9,9583063,0,,,,,
S7,1211,304463.9,9583063,0,,,,,
S7,1212,304483.9,9583063,0,,,,,
S7,1213,304503.9,9583063,0,,,,,
